@relation it32
@attribute AB002315_at numeric
@attribute AC000061_cds3_at numeric
@attribute AD001527_cds1_at numeric
@attribute D14686_at numeric
@attribute D28483_at numeric
@attribute D29012_at numeric
@attribute D29956_at numeric
@attribute D31763_at numeric
@attribute D43638_at numeric
@attribute D50924_at numeric
@attribute D80004_at numeric
@attribute D83542_at numeric
@attribute HG2228-HT2305_at numeric
@attribute HG2417-HT2513_at numeric
@attribute HG2525-HT2621_at numeric
@attribute HG384-HT384_at numeric
@attribute L02840_at numeric
@attribute L13286_at numeric
@attribute L13923_at numeric
@attribute L17131_rna1_at numeric
@attribute L20773_at numeric
@attribute L27586_at numeric
@attribute L33243_at numeric
@attribute L40396_at numeric
@attribute L48513_at numeric
@attribute M11437_cds2_at numeric
@attribute M13194_at numeric
@attribute M19989_cds2_at numeric
@attribute M20530_at numeric
@attribute M23379_at numeric
@attribute M30894_at numeric
@attribute M34423_at numeric
@attribute M35252_at numeric
@attribute M37190_at numeric
@attribute M60748_at numeric
@attribute M63962_rna1_at numeric
@attribute M64347_at numeric
@attribute M73547_at numeric
@attribute M74719_at numeric
@attribute M84526_at numeric
@attribute M86868_at numeric
@attribute M98539_at numeric
@attribute S71824_at numeric
@attribute S76475_at numeric
@attribute S78187_at numeric
@attribute S78296_at numeric
@attribute U08998_at numeric
@attribute U11690_at numeric
@attribute U18018_at numeric
@attribute U21936_at numeric
@attribute U23946_at numeric
@attribute U28963_at numeric
@attribute U36448_at numeric
@attribute U37143_at numeric
@attribute U37673_at numeric
@attribute U39412_at numeric
@attribute U41737_at numeric
@attribute U50136_rna1_at numeric
@attribute U51477_at numeric
@attribute U52827_at numeric
@attribute U57877_at numeric
@attribute U70867_at numeric
@attribute U80669_at numeric
@attribute U92459_at numeric
@attribute X02152_at numeric
@attribute X12901_at numeric
@attribute X14787_at numeric
@attribute X14968_at numeric
@attribute X15882_at numeric
@attribute X16560_at numeric
@attribute X51804_at numeric
@attribute X54938_at numeric
@attribute X59656_at numeric
@attribute X68194_at numeric
@attribute X69636_at numeric
@attribute X78565_at numeric
@attribute X84740_at numeric
@attribute X91809_at numeric
@attribute X95654_at numeric
@attribute X99050_rna1_at numeric
@attribute Y07604_at numeric
@attribute Y08136_at numeric
@attribute Z56281_at numeric
@attribute Z68129_cds1_at numeric
@attribute L08895_at numeric
@attribute D86974_at numeric
@attribute AB006781_s_at numeric
@attribute D43682_s_at numeric
@attribute Y10807_s_at numeric
@attribute L08835_rna2_s_at numeric
@attribute M17863_s_at numeric
@attribute Z68280_cds2_s_at numeric
@attribute L25286_s_at numeric
@attribute X02875_s_at numeric
@attribute M29277_s_at numeric
@attribute Y10141_s_at numeric
@attribute X73358_s_at numeric
@attribute U31973_s_at numeric
@attribute U75276_s_at numeric
@attribute U40271_s_at numeric
@attribute U43747_s_at numeric
@attribute U72509_s_at numeric
@attribute U79667_s_at numeric
@attribute L20433_at numeric
@attribute X83863_at numeric
@attribute CLASS {'0','1'}
@data
380,-109,119,409,248,1204,86,235,154,179,3108,1687,-1996,-85,499,7704,329,-20,495,1280,896,120,1156,58,450,-7,962,1155,141,829,171,417,28,369,-143,-372,109,1137,3584,-250,-521,3020,692,1830,937,4400,-261,119,291,93,660,646,51,-26,475,1166,-42,2467,375,109,1002,252,272,-23,668,-18,-28,-183,1505,3837,527,557,-446,40,590,337,267,321,9,109,1182,94,290,947,9,8156,-37,1217,3159,1697,270,2394,36,357,-60,301,5438,-99,425,61,163,178,-98,-327,671,'0'
227,120,184,627,166,1376,75,9,96,129,2348,1002,-596,386,576,5149,225,11,146,868,474,-92,845,208,86,-65,679,317,221,390,255,435,49,498,1,-97,49,488,2039,-202,-491,2874,488,1275,69,1481,-18,187,43,70,522,471,52,49,-103,600,-85,1204,349,93,610,286,79,-41,191,24,-22,-45,363,2101,319,732,-86,-190,285,35,139,178,-9,110,1308,185,364,596,11,6950,-140,848,1899,1317,501,597,-7,119,-194,980,2505,-198,207,-21,-32,214,-35,-283,523,'0'
130,-22,154,706,114,1091,133,204,517,51,1054,312,-704,-19,163,3573,49,-5,451,328,709,75,801,74,327,101,1116,227,65,517,93,476,-37,163,21,17,114,1748,1768,-83,-364,2260,568,307,448,3668,-90,304,412,26,598,582,232,-3,405,622,-31,1630,535,23,774,830,9,29,4333,-18,59,10,1360,1307,371,238,-122,93,141,10566,230,187,-3,78,906,-2,427,799,69,11836,71,1868,4039,1201,279,1124,-14,198,-31,690,1711,-33,26,145,93,-53,618,-227,451,'0'
250,-93,90,113,262,1111,70,11,242,82,614,618,-414,-7,113,6572,97,-97,970,360,508,125,1381,78,207,133,775,528,31,164,-15,152,-7,7,-19,11,-39,328,3104,-395,-234,1945,904,9007,387,379,-3,-15,258,109,46,360,-86,-11,23,-266,70,125,579,227,207,540,0,86,778,-101,50,-66,2266,2466,324,328,-105,-39,172,-43,317,90,-31,168,481,39,681,442,46,24371,58,1131,422,1996,962,90,23,133,-133,58,673,-70,446,172,-23,183,-78,-113,-140,'0'
-13,-34,73,92,244,1377,191,106,168,-11,607,499,-476,32,374,3115,376,-154,73,3254,443,71,30,32,184,-53,845,309,124,510,83,201,9,196,-180,-87,67,501,360,-147,-134,416,864,104,240,1127,-57,134,404,175,598,647,314,34,748,697,-76,610,251,18,529,459,104,-57,6845,-90,69,-39,367,2264,295,18,-265,-11,348,-124,166,499,-64,83,1125,62,182,744,-27,9852,110,1939,4499,1296,201,947,94,120,-270,635,2177,-20,177,136,85,48,-161,-203,746,'0'
338,95,328,508,74,1333,529,296,1344,-370,5409,1058,-349,169,1333,3186,169,-243,1037,222,412,296,2064,222,105,338,931,137,243,1355,222,359,10,31,508,10,105,910,1492,-910,-561,1344,857,2392,105,1736,-201,169,-296,-21,508,772,444,201,508,889,-74,772,1259,42,1577,1132,-804,476,2117,-158,-21,-645,1090,1143,825,486,-677,211,1079,-148,1122,338,1037,508,-656,63,815,158,-21,31780,571,4287,4573,1672,391,2233,116,275,105,207050,3504,42,1365,-486,529,-148,-21,-550,868,'0'
301,192,-368,544,871,1970,125,536,704,276,1148,1945,-997,-150,645,2632,293,-343,452,2129,503,226,2179,58,670,234,142,578,402,788,150,612,-108,243,-243,821,33,1643,1727,-612,-385,2179,670,2154,268,2858,50,-184,-1014,67,-176,729,-486,343,184,-117,-50,846,2112,771,1081,352,25,0,4963,-477,-67,-402,1827,1374,788,796,-779,503,829,201,285,829,108,67,-536,8,167,150,-318,22435,318,2523,2054,1752,326,1198,125,268,-360,930,1886,-117,461,-762,1131,25,821,-603,1031,'0'
162,176,56,643,269,1347,218,536,568,64,1046,1310,-627,-61,405,3087,232,-29,314,1441,685,90,1353,29,298,-50,1176,-45,90,784,117,314,-8,-29,26,-293,-90,1673,2257,-133,-296,2103,1491,2233,397,1694,-197,373,242,154,1315,605,344,122,621,539,29,1168,619,285,1059,939,5,627,3005,-130,189,-58,1665,2076,402,613,-157,-29,381,128,410,216,-69,269,1804,98,509,1774,232,22228,274,1449,4192,2692,483,2137,-109,149,26,12444,6346,10,408,413,290,-122,501,-352,739,'0'
100,-2,21,107,282,1866,-32,42,351,27,1697,368,-443,-85,134,5605,304,-89,323,1868,467,175,734,53,173,47,839,92,-66,640,100,522,-12,68,-2,119,4,767,713,-265,-473,1671,833,3124,282,1759,-132,190,32,139,218,709,342,-34,636,291,42,895,546,364,531,329,113,-14,1459,-117,92,-49,1176,2363,370,317,-169,-145,257,295,280,229,-55,199,2684,-36,19,632,-27,20807,74,1343,3464,1375,387,799,64,254,-29,1131,2455,-79,250,259,70,44,100,-182,537,'0'
347,65,390,334,191,1361,121,180,672,437,889,1311,-2115,-90,501,2835,516,69,112,1189,652,232,1510,31,255,-151,830,189,-270,453,151,419,97,146,-286,-665,90,1271,952,-266,-679,2661,1092,1081,388,963,-408,656,162,117,749,873,447,49,1307,1447,-79,1386,442,334,986,799,-33,625,2295,-79,58,-79,751,988,939,516,-611,47,367,562,358,298,250,54,1413,67,275,1623,153,33733,-4,1815,4808,3808,1530,2316,-49,124,-431,15855,8861,-196,54,288,293,203,1934,-607,1697,'0'
329,-52,63,215,202,1504,112,438,1290,106,4418,852,-668,114,256,2684,575,24,312,1331,871,176,1743,16,14,69,908,103,84,989,59,262,-11,110,-1,-517,153,863,2423,-408,-627,700,910,2375,325,1277,20,237,247,121,966,666,945,76,1140,914,18,1436,603,357,1022,590,61,262,8620,0,31,-192,1676,2030,597,668,-241,-16,393,108,376,314,0,185,1178,103,548,959,3,25625,258,2360,3993,3118,280,2931,-39,162,69,1028,7417,-18,247,651,144,78,1979,-288,608,'0'
457,-106,193,615,311,1819,334,315,1060,162,3856,1405,-775,-63,440,6716,223,-2,524,1733,1000,83,811,-2,863,55,1123,1605,218,839,87,509,5,155,-131,-108,62,1333,6323,-146,-190,1850,773,1934,500,1159,239,197,252,82,762,717,-159,27,187,1394,-20,2707,687,-80,785,549,-109,15,8018,10,360,-100,4443,3985,232,620,-279,305,501,260,254,326,0,158,920,138,293,825,617,5917,3,1903,3391,788,418,2072,318,230,1350,907,2042,-6,20,343,184,420,-234,-309,620,'0'
89,-89,64,713,216,1852,117,149,199,67,996,511,-873,-34,595,4658,374,31,416,305,428,83,1234,-25,329,50,1388,540,140,471,89,365,-5,102,19,71,-91,2664,2658,-244,-419,3628,473,443,585,3635,-232,252,471,68,340,455,117,31,441,838,44,2037,583,67,1089,814,186,-11,3155,-79,14,5,2253,953,589,510,-241,-59,323,6843,310,347,-7,141,1586,68,510,637,-16,15871,165,2049,5313,1498,231,1428,276,173,-189,964,2073,-65,-288,268,134,67,-31,-304,514,'0'
243,-229,148,915,400,1385,307,229,702,296,2374,1466,-2166,-156,453,2757,935,-55,557,369,652,83,2679,123,335,165,926,585,30,389,464,229,55,106,-736,-529,414,1682,1618,-251,-72,5058,870,3292,277,2696,-593,-50,946,285,1520,1201,257,212,755,851,-78,3174,781,53,1640,1391,417,117,3633,-69,156,-369,2536,366,996,475,-977,-25,708,316,417,372,-159,165,1013,179,517,1455,41,30417,299,4633,5109,4846,515,2900,439,495,-209,1836,6052,-120,207,95,109,16,624,-540,1654,'0'
54,-79,48,611,202,996,123,0,171,44,536,1013,-1491,3,72,5202,347,-254,237,594,336,168,1037,24,37,92,704,336,116,295,168,353,-109,219,-3,-151,-171,164,1972,-494,-137,680,2013,2137,292,773,-443,140,742,120,587,443,-54,-24,123,618,192,1237,34,134,845,512,189,41,1013,-10,3,-106,1161,780,518,323,-972,-278,134,20,257,0,48,120,1020,-10,364,556,85,18622,82,1632,2429,1450,1398,780,92,213,-30,13,2701,-85,-542,515,-99,226,-82,-323,247,'0'
233,-53,169,606,265,2024,63,412,788,112,3182,1337,-650,162,612,6179,160,24,215,1355,676,224,1019,72,124,-31,1100,283,75,523,127,400,42,157,-180,-429,3,934,2289,-206,-718,1446,459,1846,471,1757,6,365,511,47,1082,926,150,-25,629,1244,-66,1874,477,63,874,365,385,118,1930,-56,42,-209,834,1947,721,124,-209,-30,324,-84,157,236,69,80,432,98,520,1599,-27,36871,218,4396,5011,3994,632,1272,-4,10,-118,733,7625,-13,300,365,210,139,269,-357,1278,'0'
726,-141,263,1658,103,2246,417,654,1716,265,2664,958,-919,-45,675,5227,380,-54,855,108,1704,-23,546,18,323,-2,1608,563,152,1365,318,1212,2,304,-251,-201,190,3180,4230,-86,-384,2160,1363,358,1444,9246,-316,770,304,65,879,1216,1406,89,742,1279,-73,1960,1458,363,1271,1452,369,112,4185,-14,-31,-185,3689,2004,699,817,-159,-38,662,14267,322,404,-58,156,149,67,385,724,86,6689,-79,2723,5235,1700,570,1466,164,251,341,360,1675,-142,458,343,117,-5,1394,-407,1313,'0'
262,-72,65,244,255,1894,267,311,1754,264,3575,2869,-709,82,602,9104,110,-41,539,2421,667,49,1768,-4,324,-10,1468,944,135,901,68,530,-71,181,-112,5,118,1340,5117,-113,-353,3789,563,4364,197,4002,116,155,469,66,1113,817,-177,26,322,2329,-39,2800,760,207,1307,680,-138,-31,1821,-10,-20,-102,5351,4598,262,520,-15,187,534,32,294,347,0,76,1062,120,579,1131,18,22291,176,1924,3804,2176,4960,1316,323,232,114,1747,3944,-21,114,1693,154,-54,276,-268,1122,'0'
82,56,65,260,291,1847,54,185,1333,86,1862,332,-543,7,88,5084,197,-3,106,1457,569,153,1455,-21,289,53,864,81,142,394,175,214,17,99,-44,-68,121,783,2501,-227,-176,3542,610,1499,290,2866,-7,136,446,54,636,455,-28,49,564,532,57,1019,419,129,471,1097,149,-10,1649,2,42,-103,656,1815,197,290,-151,19,316,199,185,174,1,62,1221,51,229,720,59,24278,167,1545,3028,1819,157,278,66,142,-112,1743,3661,29,21,503,208,23,-10,-99,530,'0'
541,1,335,499,326,1896,229,503,116,123,2522,731,-345,158,576,3382,1288,95,413,4466,852,179,673,18,245,61,848,262,97,1420,68,570,65,105,5,-34,111,882,2140,-231,-302,1821,823,1989,478,4081,169,63,737,5,1830,1036,2748,91,623,677,-122,1547,451,99,813,514,140,36,5280,-40,11,-59,2336,1450,423,466,-173,36,406,824,237,227,20,94,373,97,587,827,41,19454,109,5163,5977,3084,469,1780,169,101,224,8572,5087,-13,217,391,-48,20,-72,-290,712,'0'
224,39,157,389,211,1734,-27,-18,383,63,1068,604,-1151,-121,-103,2772,213,5,425,579,514,101,568,68,65,108,1301,295,52,108,32,456,141,7,10,10,0,814,1209,-231,-81,1926,568,92,324,1582,-260,311,-181,115,427,450,-68,-97,387,530,-90,1419,512,48,374,516,208,-86,4449,-105,-14,-95,1843,1276,289,50,-90,-56,97,4778,215,222,-12,72,1140,21,179,834,-32,9086,115,1441,5012,910,217,1135,-38,119,-280,208,1446,-168,-88,168,92,-66,1093,-231,309,'0'
115,-71,107,353,200,1288,152,110,126,54,3794,720,-874,81,298,6309,456,-25,328,481,1089,51,1458,0,134,-28,1222,912,0,1024,69,324,-14,92,-177,97,-95,1074,5282,-126,-154,3826,725,3815,340,2917,-137,578,366,67,942,698,-6,35,319,627,25,4838,399,84,851,164,105,6,759,-63,0,-79,1724,1354,342,348,-65,51,576,202,275,234,-28,57,544,21,543,1326,29,18668,56,2391,2692,1468,1051,2007,34,281,24,1145,5291,-36,112,418,39,75,373,-220,731,'0'
153,32,98,32,142,1727,86,367,830,103,2417,926,-862,-44,306,7468,100,-9,428,1205,601,23,1036,-6,188,-49,982,744,63,632,52,165,0,56,-22,-56,58,779,3887,-142,-243,1677,572,1599,270,3097,17,165,252,62,244,529,5,15,464,764,-10,2221,311,130,628,229,-32,-19,913,11,-21,-68,1456,3797,204,385,-32,65,498,141,270,188,-4,59,694,29,147,894,27,10716,37,791,2515,1252,517,1167,42,43,82,1871,2144,-27,173,454,76,209,394,-195,380,'0'
378,-63,140,692,155,1513,252,415,455,103,2115,1139,-615,43,225,4799,356,-65,315,4291,771,103,1284,50,128,48,1096,177,156,958,38,472,55,202,-171,-75,69,1148,1228,-168,-465,933,718,446,371,2746,100,220,271,39,477,556,843,103,580,1080,-80,868,505,92,1075,377,6,35,5810,-19,7,-104,304,3928,505,367,-133,55,659,319,330,257,15,192,1189,111,206,702,46,11111,-59,2037,3309,1260,369,1344,33,148,191,1294,6183,23,158,751,1,-97,-196,-241,801,'0'
924,-80,84,1916,337,1998,407,389,1326,248,6954,1554,-565,9,593,2581,448,-200,352,2876,1066,183,1969,80,210,-542,850,166,181,1931,213,620,-6,235,-250,-210,389,1446,1126,-183,-155,2995,448,1144,355,1766,-954,333,1196,57,1069,545,3719,158,698,742,-306,4516,2449,235,1155,1294,526,1361,7469,-139,374,-158,1654,2931,760,172,-64,191,888,181,622,1687,9,200,-1219,116,984,1133,27,9096,209,824,4188,788,366,1680,50,922,-226,32569,6296,-73,-73,730,293,-805,706,-174,2760,'0'
93,-24,41,210,181,1946,94,102,45,54,182,88,-333,36,-54,4545,19,70,477,2076,710,37,193,22,525,82,733,75,8,274,194,837,-48,36,-31,39,-5,648,396,-114,-248,315,237,188,427,354,206,152,103,7,202,613,-103,17,98,191,15,374,272,32,593,233,41,23,8999,32,-22,8,3305,2084,308,297,-118,36,203,42,162,279,-14,180,1485,9,897,609,16,21666,75,2798,3208,1124,171,1031,-28,46,235,347,793,-4,158,368,130,104,-74,-85,123,'1'
134,-112,278,623,487,1304,65,62,1470,263,1500,1684,-442,-103,196,5248,18,53,509,1329,988,-11,373,31,405,8,794,172,58,405,18,124,21,212,-46,253,155,1106,2993,-119,-516,1322,397,908,172,1542,55,191,169,21,367,419,-20,197,-414,471,-87,1394,1151,60,657,529,-281,-78,903,-35,-3,-216,492,5722,298,1423,-476,43,232,1121,124,434,-55,214,159,41,528,698,26,5395,-30,1054,1129,1203,248,197,127,130,-83,164,284,-93,-41,-192,-25,724,-305,75,1273,'1'
104,39,82,239,31,2784,0,55,79,-4,1249,113,-1118,-13,297,4821,146,-17,301,3549,417,59,419,28,128,28,931,197,95,377,22,687,-6,31,-124,-22,-6,366,463,42,-130,692,552,195,643,645,106,128,-219,57,394,352,11,90,326,610,11,552,408,-93,858,676,155,-117,8858,24,44,-64,1275,2183,432,310,-248,57,119,46,128,217,-77,28,2027,68,199,780,-19,19193,19,1202,3658,2624,215,851,-24,64,-51,683,3700,-6,241,-128,11,339,-139,-266,310,'1'
-362,218,314,9,56,1155,46,18,-33,-117,566,1295,-882,-293,-177,3818,59,-13,289,2013,512,231,573,67,37,-190,457,272,-108,342,263,41,-26,-91,-484,-85,-69,269,515,-811,-71,1267,362,153,495,962,323,95,254,-9,547,371,44,192,61,570,173,611,147,179,659,450,-82,-121,4138,42,-20,-400,545,1839,770,-104,-443,201,-145,157,386,360,185,302,2211,3,76,409,-89,13461,-59,1523,2940,2222,362,1039,3,476,-72,428,2443,-5,-100,-166,106,407,-609,-452,52,'1'
190,-292,-336,50,285,4079,152,-12,-44,171,432,190,-235,-184,190,3304,317,-76,260,1887,413,279,851,235,781,-165,330,9519,44,381,273,451,82,69,-44,406,-63,101,1035,-196,146,1105,381,2579,1734,127,209,50,-1112,127,25,819,-317,190,-222,-235,177,139,-158,-190,413,38,-25,-184,2014,-76,-88,-190,438,629,260,1499,-533,184,235,737,654,1092,114,-88,3291,-44,25,603,-82,15047,387,2999,1811,489,419,266,120,826,1023,-76,1232,-19,343,-190,57,521,-260,-451,3888,'1'
40,-8,-27,66,107,1286,43,36,624,34,339,113,-340,27,31,2912,72,102,144,4027,420,13,246,2,587,-13,611,78,-18,477,14,110,-43,-37,-73,-185,678,311,768,-178,-226,640,675,282,440,3040,88,111,63,55,575,417,24,39,91,82,-105,498,371,-33,506,134,17,8,3378,-49,42,-18,568,1796,217,411,-18,89,237,39,390,-84,-10,30,1710,-15,291,584,23,15816,33,1264,3756,1389,123,987,-37,15,-187,368,935,-1,-24,98,84,195,-143,-10,316,'1'
99,-110,22,144,166,916,64,157,958,-4,1751,852,-503,-110,170,2406,117,15,279,1778,330,64,779,-55,24,106,739,26,-73,326,59,308,68,-66,-159,73,-37,412,703,-299,-206,954,288,268,228,1374,179,235,499,37,419,392,-11,28,681,412,35,921,155,133,628,437,-144,317,3123,-102,-46,-4,892,1809,619,392,-177,24,219,91,128,361,-39,33,1351,15,-135,332,-62,27415,26,1061,3918,2570,586,1298,19,93,110,2623,4422,13,206,-42,57,66,-82,-237,477,'1'
